Nodes,Groups,Reduction
20,4,2.63
64,12,13.83
8,5,16.66
16,6,8.77
8,2,0
8,3,-10.00
60,15,15.99
8,3,-12.50
4,4,0
8,2,0
8,4,0
32,3,-24.19
32,8,12.26
24,11,26.08
4,2,0
32,4,-36.76
342,6,10.33
18,4,13.46
512,7,16.82
16,5,14.28
4,2,0
8,3,14.28
4,2,0
4,2,0
16,5,-5.55
4,2,0
24,2,12.50
24,11,10.00
512,7,21.07
24,2,-12.50
32,2,0
4,2,0
512,7,19.20
8,2,0
284,7,36.08
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
8,2,-50.00
8,3,14.28
8,3,12.50
8,5,10.00
8,4,0
8,3,-10.00
8,5,9.09
8,3,0
8,4,6.25
8,2,-50.00
8,2,0
8,3,14.28
8,2,0
8,2,0
8,6,0
8,2,0
8,3,0
8,2,0
8,2,-50.00
24,2,12.50
32,4,1.13
32,4,13.11
280,7,26.47
512,7,27.70
8,2,0
8,3,-12.50
4,2,0
205,7,9.69
8,2,0
8,3,14.28
8,3,12.50
8,2,0
8,2,0
8,3,25.00
8,4,11.11
8,2,0
8,2,0
8,3,13.33
8,3,14.28
8,5,0
8,3,0
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
8,2,-50.00
8,2,-50.00
16,2,0
205,7,25.37
32,6,4.34
32,6,4.76
60,3,21.66
24,2,5.55
60,3,40.60
24,2,1.85
282,7,15.09
281,7,19.52
205,7,15.61
8,2,0
8,2,0
8,2,0
8,2,-50.00
8,4,0
8,3,-12.50
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
32,3,4.87
32,3,13.46
32,3,0
32,3,-13.33
16,2,0
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
20,3,40.81
16,2,0
24,2,12.50
8,2,0
8,2,0
16,2,0
8,2,0
24,2,26.19
24,2,12.50
8,2,0
8,2,0
16,2,0
16,2,0
16,2,0
8,2,0
16,2,0
8,2,0
16,2,0
205,5,1.59
64,2,-3.10
32,2,-83.33
32,2,0
24,2,12.50
16,2,0
8,2,0
160,6,.21
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
205,5,5.94
64,7,-2.32
512,7,10.67
16,2,0
55,5,-50.00
205,7,3.30
282,7,20.97
24,2,51.61
8,2,0
8,2,0
8,2,-50.00
8,3,-10.00
8,3,14.28
8,4,18.18
8,2,0
8,2,0
8,3,0
8,2,0
8,2,0
8,3,0
8,2,0
8,3,-12.50
8,2,0
8,2,0
8,3,14.28
8,2,-50.00
8,3,-12.50
8,2,0
8,2,0
8,2,-50.00
8,2,-50.00
8,2,0
20,5,44.44
4,2,0
4,2,0
20,2,-47.22
5,2,0
4,2,0
8,3,-10.00
8,2,-50.00
8,3,-12.50
4,2,0
8,2,0
8,2,0
8,2,-50.00
8,2,-50.00
8,2,-50.00
8,2,0
8,3,14.28
4,2,0
32,2,-187.50
100,5,11.03
8,3,12.50
8,2,0
60,2,38.20
8,2,0
8,4,0
8,2,-50.00
8,2,0
8,2,0
8,3,15.38
8,2,-50.00
8,2,-50.00
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
8,2,-50.00
8,2,0
8,3,14.28
8,2,0
8,2,-50.00
8,2,-50.00
8,3,-12.50
4,2,0
4,2,0
32,2,0
4,2,0
24,3,3.57
14,2,25.00
32,3,13.25
32,2,-7.84
32,2,0
32,2,0
276,7,22.56
64,4,21.14
32,2,-9.52
64,5,-4.41
128,9,18.39
256,7,20.25
4,2,0
84,7,24.37
64,7,18.82
205,4,17.53
32,2,-187.50
6,2,22.22
24,2,41.02
32,2,-28.57
16,2,0
32,2,-28.57
260,6,-5.84
192,10,31.98
4,2,0
4,2,0
8,3,12.50
64,4,17.02
20,4,2.17
8,2,-50.00
20,5,25.67
192,6,25.66
192,4,26.21
192,13,37.23
192,16,-1.34
32,2,-28.57
8,2,0
12,2,11.11
12,2,11.11
12,2,42.85
12,2,11.11
12,2,42.85
55,2,-14.70
512,7,20.72
24,2,41.02
256,6,11.08
12,2,4.16
12,3,8.33
12,2,25.00
12,3,16.66
12,4,5.55
12,5,39.39
266,5,-.11
12,3,11.76
12,2,11.11
12,4,12.00
8,2,0
8,3,25.00
8,3,25.00
8,5,0
20,2,40.00
8,2,-50.00
5,2,0
512,7,22.40
205,7,16.41
24,2,41.02
32,3,-10.00
32,6,-45.00
100,4,9.33
32,5,19.44
32,3,4.93
32,5,-20.65
16,2,0
100,2,15.28
4,2,0
64,2,-7.61
24,2,37.83
16,2,0
128,4,-6.25
24,2,26.19
16,2,0
9,2,0
16,2,0
16,2,0
24,2,12.06
16,2,0
16,2,0
16,2,0
60,2,-79.16
128,3,14.96
16,2,0
16,2,0
64,2,-3.25
64,2,-22.85
512,6,3.59
24,2,12.06
16,2,0
16,2,0
16,2,0
16,2,0
205,5,-15.00
64,2,-3.25
128,6,16.02
32,2,-9.52
32,2,0
32,2,0
8,2,0
16,2,0
512,7,28.25
32,2,0
32,2,0
32,2,0
32,3,13.79
24,2,25.00
8,2,-50.00
300,11,24.58
55,2,-6.55
4,2,0
32,2,0
64,4,-22.09
128,8,17.04
24,2,32.35
512,7,23.10
300,13,28.94
4,2,0
8,2,0
512,7,-.40
8,2,0
256,6,18.29
64,2,0
8,2,0
512,5,4.09
128,2,-8.85
8,2,-50.00
8,2,-50.00
512,7,11.31
24,2,5.55
512,5,4.70
75,2,-18.32
512,7,6.11
512,7,11.09
205,3,16.02
205,3,2.79
24,2,16.66
32,2,0
32,2,-26.66
32,2,-27.77
32,9,17.21
32,10,18.75
32,2,-8.16
84,2,8.51
32,2,0
32,3,13.51
32,7,14.81
32,2,-8.16
32,3,9.30
32,3,15.38
32,2,-83.33
32,2,-83.33
512,7,3.26
205,2,-34.45
24,2,16.66
512,5,.10
4,2,0
512,6,20.95
278,3,5.82
276,3,5.90
276,3,5.90
512,6,9.20
32,2,0
276,3,5.90
32,2,-26.66
512,5,17.93
32,2,0
276,5,20.37
20,2,-1.85
4,2,0
276,3,5.90
32,2,0
16,2,0
16,2,0
16,2,0
16,2,0
16,2,0
16,2,0
16,2,0
16,2,0
16,2,0
16,2,0
24,2,16.66
16,2,0
16,2,0
16,2,0
36,2,26.74
16,2,0
284,3,22.83
16,2,0
16,2,0
16,2,0
205,3,-6.02
8,2,-50.00
16,2,0
266,5,17.49
64,2,-22.85
32,2,0
6,2,-28.57
500,5,35.01
16,2,0
16,2,0
16,2,0
266,4,15.22
32,2,0
32,2,-8.16
16,2,0
16,2,-33.33
16,2,0
16,2,-33.33
266,5,7.09
256,5,18.82
256,5,18.85
4,3,16.66
